,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id,action,amount,day
7,2022-03-09 08:45:12,1,terra1ve69g4gapkrweye255t2vpfut2633dky5x7g79,2022-03-09 08:00:00.000,0,terra1a274tftmv533adp4v6682w4xckxn5f2v5y2jpe,0B5CD61D40610AC4C81D130B5165FEFE321AEDB6638C4D0A07046035DD8025FB,transfer,1.4500000000000002e-33,2022-03-09
8,2022-02-06 17:27:36,1,terra1js3x6t89x08drapep5xflwe7em8tw2kpkm60q8,2022-02-06 17:00:00.000,0,terra1gv8pgfcnkjh6hcs8rcs9dl0a92u9xpf8l5sdse,5586B2B2BD4AC0B1A838F715AF1D44D072C8C4BB7CC842AE2F18531562A5C2F1,transfer,1.4802819965999994e-32,2022-02-06
9,2022-02-14 19:06:22,1,terra13mapx2zjqrv8fpatg0g3p2sfqglms7hkdas0rr,2022-02-14 19:00:00.000,0,terra19280fna5mgw7l3w76wj0x35uf6zuajqfvzcjgk,465315F3C44D5DFDF5A76644CA89DEEBAFA6411F9712F0B1E419B2FD7DAE0DA9,transfer,5e-36,2022-02-14
10,2022-02-20 17:30:53,1,terra1ufv2fd0ru0tg3ds39henlpug6dtt64al637mqe,2022-02-20 17:00:00.000,0,terra1gaq589g303daxu88pp4gmghujgtxtsvqcx307j,DC9CF956FC229A76FFECDE7E703007F581B0600DE76A6BDC71C4CD5B680B5D20,transfer,3.01749624e-34,2022-02-20
11,2022-02-15 19:53:35,1,terra1tzhssm4zdaz9rcfyyeshkdvzpzqu9v7s4htt64,2022-02-15 19:00:00.000,0,terra1zg2yzw47e2rqldszfsclj83v2gsrd7wwyc8757,E740D2D70F6223C8FE6F8783E4018494E943278CF75C2EA1351A8AF977329FBF,transfer,2.913167382e-33,2022-02-15
12,2022-02-22 03:15:27,1,terra10nfkg38nsdpz7mh3awyxu6vxrrhdsqaq7m254t,2022-02-22 03:00:00.000,0,terra1c5gcrwzk434l95ap9e9ruz46q5yswpt2uxquaw,2FD5995BCC8EABDCD357645368478404D56F4C7640D424E8A3B91795E722915B,transfer,2.35530385e-34,2022-02-22
13,2022-03-02 21:31:46,1,terra1ranr423z8m6xycv76zydfqsqsarej7k09v79kh,2022-03-02 21:00:00.000,0,terra1r3j6xus7swqu285rp9kajj2vmh9cx945q08sdf,763CCDB27FBFA770B029CB5C5963A5273CFF2B257BBE7113D0592DFD005D3EC1,transfer,1.5000005029999999e-33,2022-03-02
14,2022-02-10 22:15:18,1,terra16zj3mj8jhdrl5gzanr7fvxc9t642x0rr3duyjw,2022-02-10 22:00:00.000,0,terra1gdz4ccle5uukgcu008yqrkahjyl4nju278ysrf,FFF47ECD00666C600C1E5AED34175F22CBF061D88C911B48BEB0DEB491CB7903,transfer,2.9605639932000005e-32,2022-02-10
15,2022-02-07 12:58:55,1,terra1h2g6c9k50gh6tkkhg6halsf5uxe9y7tssxjk2y,2022-02-07 12:00:00.000,0,terra1cvuvzffnjrsz96ee6ms0pr9lgpwpgre4fqzjwl,4DC9BECF6262A73D6085EB838BEF1090DC025EC6410353D020E490AE4D1D03F0,transfer,1.4802819965999994e-32,2022-02-07
16,2022-02-07 09:52:15,1,terra18ag8tjt4kj6qzzhsagq2n3nqs2amlykuwz90mq,2022-02-07 09:00:00.000,0,terra1futa5pnnwtxgk9n87e35s634plhaqe8rf8w67v,0F94F14810C218DC3870B99AC8A6D24A61C68EBCD63D1D3D8F950E4153035E8D,transfer,1.17061e-32,2022-02-07
17,2022-02-17 02:58:53,1,terra1g290htxr77pvjfjwgsw4f7my5ntct2m775fskh,2022-02-17 02:00:00.000,0,terra183ww88eawgeqllfq9w33aelycjmavt7s8fptdx,82555FEEF02D7FEFB7BF2F91FDFA180BB26A9E82C0C4AC33F068FE4B405283F4,transfer,1.8770133549999998e-33,2022-02-17
18,2022-02-16 11:04:34,1,terra1ar3jflttt6vsrgnn2cgyqajex5arqnhaukn6y7,2022-02-16 11:00:00.000,0,terra1sa2r350pysm6nuv23jgftdpjap5r4n7znpkp73,D1F86FD51D7243362CE09E59510443337347897194DA6AFABADA39AD390C4291,transfer,9.548189109999995e-34,2022-02-16
19,2022-03-12 00:01:59,1,terra1fvnel9kykqprvk0l97gg9sxn7ldk3x4zva2vz0,2022-03-12 00:00:00.000,0,terra1llkgsmmma4lafxge6z27pm8gz7rg67lj6k7ln9,BA8BF50432F3D59F2293F17F48E9C83F8284B11F5FE8998279159B6E6DA8285A,transfer,5.834779999999999e-37,2022-03-12
20,2022-02-16 03:42:20,1,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,2022-02-16 03:00:00.000,0,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,E30EDC697311D59A2D64749B2A4E2B6E0A8A634795F7D26880BF267B66A1D3F1,transfer,1.4999999999999997e-32,2022-02-16
21,2022-02-25 16:30:24,1,terra1kr8ym0ll5jnffl8tmakl3vqhh9f49u2ccq0w55,2022-02-25 16:00:00.000,3,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,D8995305E0846CE2EE29CB9046086C907365D2E02566D8018ADF464B7446C616,transfer,9.967e-39,2022-02-25
22,2022-02-26 23:31:09,1,terra1mdjnkzs7uu9dnsdldmz9hngwcjxqhy45rqky7w,2022-02-26 23:00:00.000,0,terra1jqc88enkja3ys29z27juae9gp8tce78a9l86t6,010FDFDE56DD18033A20CF1AD8FB9FB0453E96BF413029340A24C61875C853DD,transfer,8.790120100000001e-35,2022-02-26
23,2022-02-06 20:44:15,1,terra1n0wltjcrv47zzkrc8a7lll8v4fvn5tthfak4fa,2022-02-06 20:00:00.000,0,terra1ay3gl5rmftydzx6jfne59t04qjfvct9whet4gm,0743797D71B96FF63DCBF26BB74FD2530B71714DD3DAA31877C76CB70D977205,transfer,7.741900800000002e-35,2022-02-06
24,2022-02-06 15:22:58,1,terra12n7j0ptzgw0f7scps6x2ul5pkn0crqd7rx8l2g,2022-02-06 15:00:00.000,0,terra1urgvcdnp9jvqrh8nn7qat5we8pjgtuhgt6a2en,67BDC38EE80BDA7175B30D723E6238B31618D32B570B8DBBCC5D627284956D77,transfer,8.883248999999996e-30,2022-02-06
25,2022-02-06 16:27:10,1,terra18qachv7yg7ssxq3y6t2pxjp2vfc0fhkhj5wpxr,2022-02-06 16:00:00.000,0,terra1xh7a0qdqw952ya95u4gnc3p0wy38s6ugpwyq77,4B4D0E2070285B25C2462E03FFAED208E915AB078D6D3FC39ACAE73C65D87A05,transfer,1.184225597e-33,2022-02-06
26,2022-02-06 17:18:02,1,terra1569t3ky4n03y3crrcdxtx2mxgc8mlsk0e2wx2v,2022-02-06 17:00:00.000,0,terra15t568u2dsntf8q8h24pxvah7y5cjms6k46f079,775678B0B1CFC5775F3BD9D200A8380EC5007616C36FD9DCC8607AD90054447D,transfer,3.6118880709999996e-33,2022-02-06
27,2022-02-08 08:28:14,1,terra18ag8tjt4kj6qzzhsagq2n3nqs2amlykuwz90mq,2022-02-08 08:00:00.000,0,terra1futa5pnnwtxgk9n87e35s634plhaqe8rf8w67v,91B7EE1789C38F45BB811712B0673978EA502F2CDC7D36EC22B8D010CC7D789D,transfer,3.5122000000000005e-33,2022-02-08
28,2022-02-18 16:51:02,1,terra1alpg5355yw6tnftgrvqppken9muqlxwljs3h62,2022-02-18 16:00:00.000,0,terra1p2ptfvmda4anhp68s80xlna6uekpwfqud73j4h,0E0ED1E05FABFE3161EAAC48495203CD88580D97C67457858764114ED9652EBA,transfer,3.5602271999999987e-35,2022-02-18
