,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id,action,amount
10,2022-03-07 22:10:42.073000,1,terra1kchywl5c2ywdnh8ld4rcyfa2kd2gw2r2lmml7j,2022-03-07 22:00:00.000,0,terra19jrw0jy7qnvx8mupv3g89d4yl9u60t3ydzl6eq,0B5D1F74D04B3369FDB72A00E1C2A7AB1BD60372955045A109EABD5FAD2A1608,transfer,1000000
11,2022-03-11 18:10:29.227000,1,terra1gadg483fx655krtcfuumnp9tandgj3htv809qj,2022-03-11 18:00:00.000,0,terra1e059yr0ysrzzqpn2694e6cnppfgu5gpswsr8gt,F5E3F08F7B9AAE53CE6CD8C9193936C281CA6173B8B3A76250D0E4EAD3155E58,transfer,233783375
12,2022-03-14 01:16:08.417000,1,terra1mq9p3uqrj5mmwhjkr8zmgn5dvrtxr9y593zmp8,2022-03-14 01:00:00.000,0,terra1kve2llfr424prprl6ljurn2384zjypfkzw6y6q,A4336584BF63E56D466152D82AD3E495B82ABA9EE7EE9E8A449DEA16B29A298A,transfer,191349886
13,2022-02-15 06:41:49.117000,1,terra1nve7zk2cxh07wu2sl3nj8wnfj6l5usvzgsy2xj,2022-02-15 06:00:00.000,0,terra1svu0l3am7ky4628p9xfydqhzfqt650d2hlc29a,46D00E08282D5383A6E383942F9C26379B29EC467F7374BC6B74E2543389F6C4,transfer,783890529
14,2022-02-15 19:58:05.708000,1,terra1zg2yzw47e2rqldszfsclj83v2gsrd7wwyc8757,2022-02-15 19:00:00.000,0,terra1tzhssm4zdaz9rcfyyeshkdvzpzqu9v7s4htt64,C9E737ABB107E91C240A8F6BC9D9159DF161CE915BE823FAE1BBA834FE00678D,transfer,3064140670
15,2022-02-24 02:05:25.528000,1,terra1vwvch72vxcqm0heqrlmfwzy3ern03jw5pjge26,2022-02-24 02:00:00.000,0,terra1w9qvux73f6kh7gtt2zrvzda36czfquuhzkm3qr,B2E06344FEA7FC75AD26D5187E2F2E639B9F9531FD5D5D35C0F9EE5775914B44,transfer,1000000
16,2022-03-03 09:32:47.855000,1,terra1gxf7h2w0q4vz7upraptfplvt4dmvzy9a9e63uy,2022-03-03 09:00:00.000,0,terra1cqtgfky6a25x2w8h2p40ue87hphy8qzce053xc,58CA84A85FEA7533F4B12D8B31FED7A0C017690898E235FE9B7F8723F5D34F6A,transfer,1234122451
17,2022-03-06 09:39:51.641000,1,terra1f4c5xn6rcwzvamfq26can4wqcv0vzlr94caj64,2022-03-06 09:00:00.000,0,terra1a6ph68wa37xec9mvs9pf2l6fevj3k7k07p4tyz,E35742A06A702DA028CE507E2A7F2F5F41BEE77D80ADC0C2912729D09CC540A5,transfer,1000000000
18,2022-02-21 11:30:48.665000,1,terra1jqc88enkja3ys29z27juae9gp8tce78a9l86t6,2022-02-21 11:00:00.000,0,terra1mdjnkzs7uu9dnsdldmz9hngwcjxqhy45rqky7w,815A44BCF70C04CC5BC93444EEC0C704A79437787A65E2B862EDC5672FC841E9,transfer,79431890
19,2022-02-22 14:02:15.871000,1,terra1jhpdh09fxu4l0g87shfwltz83mqjawtm8a4sla,2022-02-22 14:00:00.000,0,terra1ae8f2sm8ejzcns0v9738ara4h60hpmn2ua9qaa,2107EA4927106FCB958A3727B3A9FA9C9518E8B2FBC4B43CDAA69EF778D45259,transfer,858252481
20,2022-02-28 09:36:03.607000,1,terra1nuxlxnyxncdl8365cv7837ulxadmy4srjwen5m,2022-02-28 09:00:00.000,0,terra1vmualu28yeda5lzv65ch6rfx42dcvrktkechnu,D47F11584B69D39556016130475B1694AB190C183A26CA12FB88583C3DBC16B9,transfer,225000000000
21,2022-02-14 20:38:53.449000,1,terra1a4k2qdm6npwendkf6z4en5040wmdtgrakfelw8,2022-02-14 20:00:00.000,0,terra15e9s898pfluhv8vxqv09aejq0tv2ctjz2fzc9m,BE606B18D86AE868FA3A7D0D34443793A4BCBD6A924C29E1C3A83929859CB2FD,transfer,1508225190
22,2022-03-05 01:36:14.610000,1,terra1q5setpp3dclq8xn9cr4ctzvtz5gl6zfj4lv7yz,2022-03-05 01:00:00.000,0,terra1j8kgc7vkldd9j7s302x983ug290wedxpytm8y2,6EC1F9ABE9BF3DC662FF000B58EAC92633443C51341B595C25E6FF590BB92892,transfer,208040000
23,2022-02-16 19:06:25.967000,1,terra1t53pde0ymyhw0j9g0j8lkza74mn0kudx56uhjx,2022-02-16 19:00:00.000,0,terra1n0w0mxvg7krk34atr9gu7yfagfv0d08j7apfm3,2A4BBAC726AE15E620E835A42875E8F0B7498BF188E9309058BB0911928ACB66,transfer,689184879
24,2022-02-08 22:31:17.595000,1,terra1009vn9h5zysz4t985drgg479hgp0nyscqkqz86,2022-02-08 22:00:00.000,0,terra1jf5p6cquqk9qjtjxqpda4fpldyq9nc4v5na2gt,2A84955ACCCA5CDCF5D076E712610699F3750B8739C05E7F6F56E19EB3D4CE5C,transfer,100000000
25,2022-02-24 20:49:31.054000,1,terra1ngjq5vy3n9yn40pez8asjz0rg4kl54pe0pnkcu,2022-02-24 20:00:00.000,0,terra18l33dkxg7t9wcd75ztucc5py8nvf424y5utkhj,F4C8D76DF73BDAD14414B7E5FFCCADF331791849593248A904668C73FE072909,transfer,5533150560
26,2022-03-01 20:18:38.559000,1,terra1098efvh38fm9alxhpy6fn2uwdw82nl6l50u3u5,2022-03-01 20:00:00.000,0,terra1ge2hgvug769g9cxzln26hwjwxxzmjym3pj5wwn,2DD2BCD76905E470CAF972D3528977D846F34AD29852367D8ABCC901FDDD9916,transfer,12416955643
27,2022-03-06 08:06:06.511000,1,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,2022-03-06 08:00:00.000,0,terra1jesfrtv3yjcug7c2sfhfdavh6h0yhdhsvwhvdj,FEDED312B1720CA3CFB5E23C951FDB9FAA1BA28FE11C19694CB9387372671204,transfer,89891744
28,2022-02-15 23:19:58.697000,1,terra1pgxfx892d3243fvlc58n3g86cteantssy4hjsz,2022-02-15 23:00:00.000,0,terra1khve3urfkjnkglqwwxvlr68fulwghj7n9c6hcu,8B7254E93BC0F5BF28AE5CA048D12284AA24AC72910D5C556165A168722CAC46,transfer,29572666
29,2022-02-15 15:22:58.713000,1,terra13emdyum6s7v3vaew833euut7fd9ggw780ut3sj,2022-02-15 15:00:00.000,0,terra1nj676c2hvpmn68vdh3j3l3f59chkaw5lj5q4wa,BFB82C607046E371904FD1779CAFF9598F6DE5196FBD5710C8F64FA2EEA7525D,transfer,72693000
