,0_ask_asset,0_offer_amount,0_offer_asset,0_price,0_return_amount,1_ask_asset,1_offer_amount,1_offer_asset,1_price,1_return_amount,block_timestamp,event_index,from_,msg_index,sender,to_,tx_id
1832,PRISM,900.0,UST,0.3454268189,2605.472276,yLUNA,2605.472276,PRISM,67.819096239,38.417974,2022-02-14 13:24:38.143,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1vg39t4m8j9vgm8yfdne5qps6mcggltaar7hj7h,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,CA300B6AAF759E32BF1B2942164AB05B9DDB6CD63DFA571A01524AE42B9ACCD3
1833,PRISM,500.0,pLUNA,0.01393825571,35872.494402,yLUNA,35872.494402,PRISM,68.48797115,523.778027,2022-02-14 17:38:09.855,1,terra1qlza4svxszm7c2j6ll2z2nd6pa55dm2ud79jzu,0,terra1qlza4svxszm7c2j6ll2z2nd6pa55dm2ud79jzu,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,2A5A88FCAD91878B2CEA399019501BBC09D4E446BB184426C5C361818F471101
1834,PRISM,1215.0,UST,0.3541571464,3430.680455,yLUNA,3430.680455,PRISM,69.523648632,49.345518,2022-02-14 14:51:47.593,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1dsm5njqayxjwz4dh2uz3axahu74pf57eemguah,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,5FDDB6FA852D852F1CCAC4C8EFC70A47D653CC98C8AC5B02D659A6F4493D2754
1835,PRISM,100.0,pLUNA,0.01214839702,8231.538685,yLUNA,8231.538685,PRISM,71.529800875,115.078451,2022-02-14 14:22:30.340,1,terra12wdq8y0d08sh8mg6lhfe0ncqgm4n3skfz62tyd,0,terra12wdq8y0d08sh8mg6lhfe0ncqgm4n3skfz62tyd,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,BF8AAD842D6E28814601E9C8351B3CEFC6318C0DA7C0B065D6972252C0514C9B
1836,PRISM,10.0,cLUNA,0.006612597813,1512.264965,LUNA,1512.264965,PRISM,149.574372766,10.110455,2022-02-14 15:16:51.091,3,terra1q5jxndx238k7wu3z6ksnrtrhdage4zuz78h72c,0,terra1q5jxndx238k7wu3z6ksnrtrhdage4zuz78h72c,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,1672D54C3451C0FA9C790C1E65887C56BCF74BA2A4B35FB667D02C2E7BDFA9E8
1837,PRISM,100.0,UST,0.40798792040000004,245.105296,LUNA,245.105296,PRISM,133.643815031,1.834019,2022-02-14 18:01:47.224,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1ersc76egy5taq9wfwc4nrjfu0phujefadmn3xr,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,C39DBD7F2C05D1BEF0B22E10173EDB42AFB883ED8EA9EB3CD7FEA3045A897E24
1838,PRISM,7.658784,yLUNA,0.01243667794,615.822331,UST,615.822331,PRISM,3.051524546,201.808087,2022-02-14 12:28:26.656,3,terra1jnh8fvpdhf69ehpfpds4qlwhsa54ccuu0aey84,0,terra1jnh8fvpdhf69ehpfpds4qlwhsa54ccuu0aey84,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,0233D1B760BF785A242229DB3C450B2ED74EDEFB422862F9D1B3DD6BF6E77B9D
1839,PRISM,5.36617,LUNA,0.007102015354,755.584117,UST,755.584117,PRISM,2.516029778,300.308098,2022-02-16 23:23:27.398,3,terra1r38qlqt69lez4nja5h56qwf4drzjpnu8gz04jd,0,terra1ga280u2wl2hargsvhkucgffrmcqsgr2ufd37t4,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,5E432373676EF70F254EF27DEC7CD398B488D31B04D5102CB9495C6BA73F442F
1840,PRISM,9.288235,pLUNA,0.02348143258,395.556573,UST,395.556573,PRISM,2.517451466,157.125799,2022-02-16 23:40:23.510,3,terra10plasy8hs7hdrl78mzcp5eenp5w7uvl0ker40a,0,terra10plasy8hs7hdrl78mzcp5eenp5w7uvl0ker40a,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,D6D9530CEAEEF5C76488754EE51E53DDB6801F7C677900B5495D8571CED51DCB
1841,PRISM,200.0,UST,0.3998561781,500.179842,yLUNA,500.179842,PRISM,97.684430638,5.120364,2022-02-16 23:22:49.322,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1xgr56yxj7jfypx3yzhmrh873g2k4c2q0e92kar,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,5CD5A5FFFB03FC8D048D01552050EE4CF1505EC5FBF772882809A232EEDDCA3E
