,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id
276,provide_liquidity,211.155284,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,3.0,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,24.87434,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 22:02:50.945,1,terra19xy7p5e0cu7a348cgcwrfllw4anym6gd7cp2at,2022-02-14 22:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,0D5A10CCA341D740F050D6C83506E3277146EA2CDB274D27D651BA4DEE180277
277,provide_liquidity,52.839981,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,0.80671,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,6.496093,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 15:39:56.430,1,terra1ny4qrmum0yaqvcv32cv8mz0jvu3tzzlh3u78u5,2022-02-14 15:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,49122F6835FB9B2ADB58855A684C05D84A212AF4FB7F6AF1EE1523DC7945923B
278,provide_liquidity,254.749969,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,3.7525209999999998,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,30.601245,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 15:27:48.624,1,terra13lmh7zyl4rtvvxyx9tszwfv4efsmfz7ad4rz2q,2022-02-14 15:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,6A1E0389F559485105BAA82B86F8AF8A0800815B55BF33660C256122ABB54370
279,send,10.0,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,100.827824,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,1.024066,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,10.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-02-15 10:03:36.927,1,terra1q62uql0ht63x9ax7pwx35wpthrufltm42evrhf,2022-02-15 10:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,0C4BE1E413DB641E821346F8C9F8920CF6045473FB9C3C8F45C49D8E578638C0
280,provide_liquidity,2766.418152,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,35.189999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,307.634929,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-15 05:19:14.478,1,terra19f5pesculpsv57kjz3km2xhheqt7nf2x5xhgar,2022-02-15 05:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,439E738E9749E25494A926C730292D719EAEDE7DC6497DE3CE05B9D36AAECBF5
281,send,56.217382,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,508.142941,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,6.441661,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,56.217382,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-02-15 19:49:53.849,1,terra1uxrz5ql82ft8fzwcjv73upttd8a3r8xqkt6v4n,2022-02-15 19:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,DBB0696EF453F71D1A590A935C3C451FFB1ABB6C754F8036F012FB231C4B8909
282,provide_liquidity,5618.78,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,80.887865,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,665.481431,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-15 00:20:00.014,1,terra1h4nf2h8nl2cga98e42glg4pcqugmgts62ttksp,2022-02-15 00:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,7E63E50B3BD22AF8FE1ADD0F4B5ED2CA8436AA2DC25AB1F3F8B10250705BA8BB
283,provide_liquidity,1782.87,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,19.299531,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,182.77717,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-15 06:47:10.225,1,terra133u93lhf2djgl9r5yn8l7p7qqn5w2jaqp75en8,2022-02-15 06:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,DF216D9C312B53065894AA9B4C380FA5893EA91F617CA344236F97CD6FFB3102
284,send,112.684823,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,1009.607615,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,13.029652,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,112.684823,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-02-15 23:13:21.716,1,terra1l02jjspsha5qumlthdhvkpy8r8ny8753vy5ds9,2022-02-15 23:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,4D5DC1C455D41BA2BF44CA7550F5837387FAE374445C0BB6E8F584D207719D5B
285,send,40.536357,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,338.691874,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,4.978787,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,40.536357,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-02-15 00:12:36.523,1,terra19u3ke8r7su49kdkcwuxsaqmu0nj4zfch4apmpq,2022-02-15 00:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,1332AC07F49809BE346259BC0AE162A41B5A4649EE7009EB30A25D529210C7FF
