,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,4_action,4_amount,4_contract_address,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id
20,provide_liquidity,314.869994,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,2.500349,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,27.176089,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,,,,2022-03-15 04:52:21.899000,1,terra1l8kelckdsy2h25lulcusdfevtr6ptn7d0aet2u,2022-03-15 04:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,7140568DD4EA48A3E35DABB17B24FDE6BCA70B5EAEAAE31E7534E44C5AF75F62
21,provide_liquidity,6234.641635,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,50.0,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,540.598113,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,,,,2022-03-15 18:34:03.935000,1,terra1gahwus6y3fky335g80mmnyp9dl8al7sh8sr5ql,2022-03-15 18:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,911FED40F22B16FA0E925AD1F23D42D2353AD1029EAF0ECEAD80E46D51E394FF
22,provide_liquidity,196.406258,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,5.539999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,32.05002,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-14 18:00:01.304000,1,terra1y75xd4qgy87avsue2uu8cmp8p7a9hyc730wtjf,2022-03-14 18:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,D0CB62E5DE47441D1286B68AD83E5181AB45151F2675445D9F7070CCD96052A3
23,send,1200.956283,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,7267.977215,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,210.215195,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,1200.956283,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-14 19:10:24.592000,1,terra13mapx2zjqrv8fpatg0g3p2sfqglms7hkdas0rr,2022-03-14 19:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,A68F19D7F3E506E6065353375DF89A490C6A733B11B30254EDFFEBEC405F67DB
24,send,5.2743459999999995,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,59.992766,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,0.494851,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,5.2743459999999995,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,burn,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-16 02:29:23.287000,1,terra1l09qd7s6qcdsl028ryg9kgcvp3xc0t5ur3gy4m,2022-03-16 02:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,A1128877FEFB1FBE54C3F62851682D1A550EB688AFA59A8A647EA863F3731E00
25,provide_liquidity,77.438316,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,2.009999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,12.116297,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-16 03:02:05.022000,1,terra17m7wf3w6qehfjz4f6lz6arpjz8jnn4m4r2rkxa,2022-03-16 03:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,9DC8E66E26D7072A373D09639B3E883ACA92FFCCB94BCF8B51CD409DAC85DCD5
26,provide_liquidity,97.641602,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,2.829999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,16.157726,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-13 10:45:40.773000,1,terra16m25xup59kvy54yqmmwfmr0gkkgcftatn4fgpf,2022-03-13 10:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,9FD3A758BF9C895EBF7874683F9E6F86EEF26A382C06680A2B53481198E44CFB
27,provide_liquidity,108.63,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,3.220918,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,18.178124,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-13 23:56:08.506000,1,terra1tqzhvtvdakenck7tg85u74wg4cs6t3y2r48ckj,2022-03-13 23:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,E91B7619B71F898CCAE159C22222A30F3517F56AC2D6C03C4AA7262338C6FC1A
28,send,82.117488,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,494.693707,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,14.433768,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,82.117488,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-14 01:25:55.641000,1,terra14e5x9y5ae9tceelgunvy5jng2w9sd2yldf2c9r,2022-03-14 01:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,4C22AFDDA6DACDF66BA4DD59BBD2893A392707166F36BCD3572EA1803D516AAC
29,provide_liquidity,201.489982,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,5.932472,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,33.599008,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-14 01:06:14.145000,1,terra193k9f389sx58hxrx0jw05y44r7zlxq4lsu6n7s,2022-03-14 01:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,841C26E3D68E54B2FFE9981EAB2C26902EDFA455C71EB9112BC7664B2D3C5057
30,provide_liquidity,311.395047,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,9.05,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,51.577805,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-14 23:19:20.498000,1,terra1940edd3vd5y9qyn3whmy2f3cjhpmtsk0accc07,2022-03-14 23:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,EF81566D7E6949C64552554C03836047357638D208837797284FA10218CD2EE7
31,send,17.654516,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,110.345751,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,2.994989,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,17.654516,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-16 05:08:04.832000,1,terra1x5qecwsfsv4la7445aaqt00m93v87mhuuv9mxw,2022-03-16 05:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,39B4BF1EC1716480EC755325B06D8CE47F783513EB6E90F261A49195CC3C0584
32,provide_liquidity,3613.605825,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,94.7,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,568.116438,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-16 03:36:59.437000,1,terra1h4nf2h8nl2cga98e42glg4pcqugmgts62ttksp,2022-03-16 03:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,331E7D52E806C05E6BE85728F827F74A018DC4405D52A55E8CD399D60EF5C11A
33,provide_liquidity,629.846865,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,5.309999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,55.983909,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,,,,2022-03-16 00:37:37.393000,1,terra16cvvggcauc56gx3wyweclff58g6fmvng0yngvz,2022-03-16 00:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,061A391419460D57BA3C310B22F911D213B8798B92DBFF2765B0A39727C8BD2D
