,0_action,0_amount,1_amount,1_contract_address,2_amount,2_contract_address,3_contract_address,block_timestamp,event_index,from_,msg_index,to_,tx_id,bonded,minted
431,burn_from,36.391994,36.391994,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,36.391994,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 22:17:11.534,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,3B731CFA36530EF6B975F66D14FDAC1092E9861DF4C7F2EA0DB0DE96BCA6EF9E,,
432,bond_split,3.0,3.0,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,3.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 22:44:27.829,4,terra10dgkdfm6lcywp4u0kp6cs33fptzsz2rsm023yt,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,A72846276375204A272B43F832F51B4C01B3EB95A4897C41692FF7E1088BAC2D,3.0,3.0
433,burn_from,61.882497,61.882497,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,61.882497,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 03:54:50.720,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,8776635505D7818895AB0847312C821CA5E192EA0F4192E51CFFDECC16E4FE32,,
434,burn_from,93.2047,93.2047,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,93.2047,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 03:53:12.132,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,30DF699900CB060BD85EDAC0D46B86BC9D153EE421826994BE082DA1CFFC19B1,,
435,bond_split,350.0,350.0,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,350.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 06:05:26.879,4,terra1r4pw7p8fg2psps5m56u32j2tlcllg74z5lckgc,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,10BD35A410FF5AC277DB70CA92AC883237B69A80F64EB89BA852CD58644AF21E,350.0,350.0
436,burn_from,6.125299,6.125299,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,6.125299,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 05:27:02.388,1,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,2,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,BEEDFB31AC12FAE019D7DF4C49EE067864B5D93C11449E74086C47C0CA3354A9,,
437,bond_split,6.3230830000000005,6.3230830000000005,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,6.3230830000000005,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 05:16:46.339,4,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,D89E639EDE6E20FC8778365440871AE02CD61EFCEFBB62F42DD3CF894E94A5D8,6.3230830000000005,6.3230830000000005
438,bond_split,0.8300000000000001,0.8300000000000001,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,0.8300000000000001,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 05:45:50.985,4,terra1gtjcv5ltq95q5zqvwzw57zkykwg5lxkd0zlc4x,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,CD5CF1AB56ADC36CA64B5DDC0B46ED48E624559DDFCFB589FBE65FB9A1FF81A3,0.8300000000000001,0.8300000000000001
439,burn_from,5.872759,5.872759,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,5.872759,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 05:44:47.014,1,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,2,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,0F4EE43A564C633E18418EEC305F4DAF31D3D931078A333A370DA5543C0DABFC,,
440,bond_split,0.005,0.005,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,0.005,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 05:49:26.966,4,terra1lkg3fdd0my4rmy5x0ygvju4v95lh83w54sz33w,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,884A10EA7B41DB2E6060634928BF4BFD1571C54CF2247FA84A10A43F63753DE2,0.005,0.005
