,ask_asset,block_timestamp,event_index,from_,msg_index,offer_amount,offer_asset,price,return_amount,sender,to_,tx_id
9592,UST,2022-02-15 16:39:36.966,3,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,8,1203.45606,PRISM,2.048435889,587.499988,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,F7BC91722700C04318F5F29550FB8495183155EDA2448A239B76A9305DC8B329
9593,pLUNA,2022-02-15 12:31:01.701,1,,1,1053.082034,PRISM,41.925143134,25.11815,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,B19EEBDEF8A869BA67406C8784607FB4135FF0DEE58692DF5E1226D326E529B8
9594,,2022-02-15 16:49:43.096,1,,0,,,,,terra1pzf43866y3zdx4qjhzfslqmfnytahdvukm76s8,,8DF8B596B29FEF878587A7A1DFB9B0607782C9CA178E674A1506C7C74612CE21
9595,,2022-02-15 10:51:12.051,3,,0,,,,,terra15j7unscw2agmwg4s6dxgf8cvrumr3d8na6kgan,,46EABEF6CC4622F9758F8542540CC02E6852B21710352A2AD1937A301E0FC488
9596,,2022-02-15 21:33:08.827,3,,0,,,,,terra1v9gf2u67hcpkx0gj8f7venm6u6299gu5jplkh4,,CBD0AE4788A1FF8FA0F00368BF7CA1AB48E7B650ED17B7053A087467A7454BB9
9597,PRISM,2022-02-15 19:50:34.120,3,,0,10.0,LUNA,0.008411151329,1188.897882,terra1glugy6td79zlgq9hzk48hxgmzw4z59qrj8wyhu,,91290D5A2F0AF13F89852CEB74565BFC8A8E4112F9E5BD269DBC719B846F9415
9598,,2022-02-15 23:04:29.007,3,,0,,,,,terra1rvzk9j4m3klvksshlvmwgufhx5qw4zv0xs52a4,,A39D2669E8043309B203DF77692E8055332DBB717C990D1DB97DCF3B02021A16
9599,,2022-02-15 15:49:10.495,3,,0,,,,,terra1hrnmjphe2ec7n0gvjcs5dqgzfqvvd2z9pdxs4k,,B291891DC77B836E0EB85573F15F49B68E0A74D62B1B7FA34CF1C9F96F48D36D
9600,PRISM,2022-02-15 15:01:51.220,1,,0,610.0,xPRISM,1.014058791,601.543032,terra17ahv7lckynglfmgy0zpkhtclsy2udhw8hgzgzt,,C222DEC0B38B8D551C69633428C5DD52EB2D56AD3A5AC85453FEF4E22CF90E08
9601,xPRISM,2022-02-15 15:56:17.986,1,,0,40.827903,PRISM,0.9915549086000001,41.175635,terra1k63rxft67yw95wetr7z6700vagpryae6vzhchs,,05D3A9EF075D2DA3E6226C188E753AC4D3B4C328A8780EC8F3F19CF347E317C0
9602,xPRISM,2022-02-15 15:42:37.998,1,,0,10000.0,PRISM,0.9844075187,10158.394578,terra1y5c7zwhlagjvk04mqd54rdw3sdk83hvxjjf8d3,,55789F0AFE7A3B21773560C34915C05CDD617FB698A1AEA508C132182B3DE135
9603,PRISM,2022-02-15 03:00:38.934,1,,6,0.0009500000000000001,pLUNA,0.01646361541,0.057703,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,,620B4B6570EDFC4276A5AD10560DD193D4AE0E55B1D32402E0442CB47EF080AE
9604,PRISM,2022-02-15 06:52:40.323,1,,0,180.292645,pLUNA,0.02191059473,8228.560073,,,213B6EDD032E96BDB8167B68AAB1932041C8C836A2A245F0C6502A857B8D9C27
9605,PRISM,2022-02-15 06:52:40.323,1,,0,180.292645,pLUNA,0.02191059473,8228.560073,terra1np65kn0xpypg4f9rhllyqyla4syg0mme2c6nrt,,213B6EDD032E96BDB8167B68AAB1932041C8C836A2A245F0C6502A857B8D9C27
